text,category,priority
Many families are impacted due to lack of proper food resources. Case 750 as lives are at immediate risk,Food,HIGH
Food related issue reported in area 403 requiring attention. to help the affected community,Food,MEDIUM
Water scarcity is affecting daily life in region 374. to prepare for upcoming needs,Water,LOW
There has been a continuous problem with food services affecting daily life. Case 365 as part of current needs,Food,MEDIUM
"pls help no doctor here, need support soon to help the affected community",Health,MEDIUM
Flooding has displaced families in area 151. for timely assistance,Disaster,MEDIUM
Bridges in area 4 require urgent repair. following a severe disaster,Infrastructure,HIGH
Unemployment is rising in community 356. to help the affected community,Livelihood,MEDIUM
"In the urban poor colony, some families have partial damage to roofs ever since the storm, the elderly can't cope. to support ongoing recovery",Shelter,MEDIUM
Community 236 is recovering from cyclone damage. for timely assistance,Disaster,MEDIUM
Relief support is needed after disaster in locality 344. to support ongoing recovery,Disaster,MEDIUM
Public transport is unavailable in locality 281. as a general requirement,Infrastructure,LOW
Relief support is needed after disaster in locality 153. as part of current needs,Disaster,MEDIUM
Water scarcity is affecting daily life in region 369. for timely assistance,Water,MEDIUM
Residents report ongoing health problems making survival difficult. Case 438 following a severe disaster,Health,HIGH
Electricity supply is unreliable in region 3. due to a critical situation,Infrastructure,HIGH
Unemployment is rising in community 234. for routine support,Livelihood,LOW
Community 170 depends on contaminated water sources. due to a critical situation,Water,HIGH
Open defecation is common in region 296. to help the affected community,Sanitation,MEDIUM
Many families are impacted due to lack of proper health resources. Case 974 to support ongoing recovery,Health,MEDIUM
Many families are impacted due to lack of proper food resources. Case 92 with people in urgent distress,Food,HIGH
Village 247 requires installation of water supply systems. to prepare for upcoming needs,Water,LOW
Livelihood support is required for households in zone 302. to prepare for upcoming needs,Livelihood,LOW
Electricity supply is unreliable in region 202. for timely assistance,Infrastructure,MEDIUM
"need urgent medical help, urgent attention needed following a severe disaster",Health,HIGH
People in this area are facing severe issues related to shelter and need support immediately. Case 313 to support ongoing recovery,Shelter,MEDIUM
There has been a continuous problem with food services affecting daily life. Case 785 as part of current needs,Food,MEDIUM
Many families are impacted due to lack of proper food resources. Case 343 with people in urgent distress,Food,HIGH
There has been a continuous problem with food services affecting daily life. Case 445 due to a critical situation,Food,HIGH
Household 398 reports lack of clean drinking water access. to prepare for upcoming needs,Water,LOW
Village 227 requires installation of water supply systems. as part of current needs,Water,MEDIUM
"temporary shelter very bad, need support soon for future planning",Shelter,LOW
Unemployment is rising in community 284. for timely assistance,Livelihood,MEDIUM
"roof broken unsafe living, not sure what to do following a severe disaster",Shelter,HIGH
Unemployment is rising in community 66. for timely assistance,Livelihood,MEDIUM
People in this area are facing severe issues related to shelter and need support immediately. Case 871 due to a critical situation,Shelter,HIGH
Residents report ongoing health problems making survival difficult. Case 986 as lives are at immediate risk,Health,HIGH
People in area 8 need skill development opportunities. due to a critical situation,Livelihood,HIGH
Open defecation is common in region 143. for future planning,Sanitation,LOW
People in area 228 need skill development opportunities. to help the affected community,Livelihood,MEDIUM
Livelihood support is required for households in zone 341. with people in urgent distress,Livelihood,HIGH
Sanitation infrastructure is inadequate in zone 305. to support ongoing recovery,Sanitation,MEDIUM
"people sick no clinic open, need support soon due to a critical situation",Health,HIGH
The situation regarding health has worsened significantly in recent days. Case 241 as lives are at immediate risk,Health,HIGH
Flooding has displaced families in area 353. as part of current needs,Disaster,MEDIUM
Residents in area 362 walk long distances for water collection. with people in urgent distress,Water,HIGH
Residents in area 411 walk long distances for water collection. with people in urgent distress,Water,HIGH
Education related issue reported in area 412 requiring attention. following a severe disaster,Education,HIGH
Many families are impacted due to lack of proper health resources. Case 626 with people in urgent distress,Health,HIGH
Bridges in area 20 require urgent repair. as part of current needs,Infrastructure,MEDIUM
There has been a continuous problem with health services affecting daily life. Case 521 with people in urgent distress,Health,HIGH
Community 288 depends on contaminated water sources. for future planning,Water,LOW
Natural disaster has disrupted life in zone 207. with people in urgent distress,Disaster,HIGH
Residents report ongoing health problems making survival difficult. Case 29 with people in urgent distress,Health,HIGH
Many families are impacted due to lack of proper shelter resources. Case 670 following a severe disaster,Shelter,HIGH
Residents report ongoing shelter problems making survival difficult. Case 349 due to a critical situation,Shelter,HIGH
Livelihood support is required for households in zone 367. to prepare for upcoming needs,Livelihood,LOW
"kids not studying properly, pls help as part of current needs",Education,MEDIUM
"School has no blackboard or benches after the heavy rains, pregnant women need help. for timely assistance",Education,MEDIUM
